"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,D1,D3,D4,D10,D5,D6,D7,D9,D8";"D_SOD-123";10;"D_Small";;;
2;"MX_Right1,MX_Insr1,MX_Pg_Up1,MX_Home1,MX_Left1,MX_Dlt1,MX_End1,MX_Pg_Dwn1,MX_Up1,MX_Down1";"MX-1U-NoLED";10;"MX-NoLED";;;
3;"J2";"PinHeader_2x10_P2.54mm_Horizontal";1;"Conn_02x10_Counter_Clockwise";;;
4;"J1";"PinSocket_2x10_P2.54mm_Horizontal";1;"Conn_02x10_Counter_Clockwise";;;
