"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX8,MX1,MX9,MX4,MX3,MX7,MX2,MX6,MX5";"MX-1U-NoLED";9;"MX-NoLED";;;
2;"D3,D9,D1,D4,D5,D6,D8,D7,D2";"D_SOD-123";9;"D_Small";;;
3;"J2";"PinHeader_2x10_P2.54mm_Horizontal";1;"Conn_02x10_Counter_Clockwise";;;
4;"J1";"PinSocket_2x10_P2.54mm_Horizontal";1;"Conn_02x10_Counter_Clockwise";;;
